Car Name,Distance,Owner,Fuel,Location,Drive,Type,car_age
Hyundai Elite i20,47227,1,PETROL,KL-41,Manual,HatchBack,8
Renault TRIBER,24236,1,PETROL,PB-70,Manual,SUV,3
Hyundai Tucson New,86933,2,PETROL,UP-14,Manual,Lux_SUV,6
Mahindra TUV300,58157,1,DIESEL,TN-09,Manual,SUV,7
Toyota Glanza,35636,1,PETROL,MH-01,Automatic,HatchBack,4
Maruti Ciaz,45639,2,PETROL,MH-03,Manual,Sedan,7
Honda City,53355,1,PETROL,DL-1C,Manual,Sedan,8
Maruti Baleno,88993,1,PETROL,MP-09,Automatic,HatchBack,7
Maruti Eeco,2075,1,CNG,KL-01,Manual,SUV,2
Renault Duster,59943,1,PETROL,DL-1C,Manual,SUV,10
Renault Duster,20743,1,PETROL,KA-05,Manual,SUV,4
Maruti Swift,33869,1,DIESEL,KA-03,Manual,HatchBack,10
Honda City,71731,2,PETROL,HR-51,Manual,Sedan,8
Hyundai GRAND I10 NIOS,25955,2,PETROL,WB-20,Automatic,HatchBack,5
Ford Ecosport,47942,1,PETROL,DL-10,Manual,SUV,6
Maruti Wagon R 1.0,63838,2,PETROL,UP-32,Manual,HatchBack,10
Maruti Swift Dzire,50854,2,PETROL,DL-3C,Manual,Sedan,12
Maruti Alto,18534,1,PETROL,KL-36,Manual,HatchBack,4
Hyundai Elite i20,118327,2,DIESEL,MH-14,Manual,HatchBack,8
Toyota URBAN CRUISER,22389,1,PETROL,UP-78,Manual,SUV,4
Mahindra XUV500,105759,2,DIESEL,KA-09,Manual,Lux_SUV,6
Maruti Alto 800,30790,1,PETROL,MH-12,Manual,HatchBack,9
Honda City,68137,1,PETROL,TN-07,Manual,Sedan,14
Hyundai i10,35125,2,PETROL,TN-07,Manual,HatchBack,12
Hyundai Elite i20,67281,2,PETROL,GJ-01,Manual,HatchBack,6
Hyundai NEW SANTRO,80229,1,CNG,MH-14,Manual,HatchBack,6
Hyundai NEW SANTRO,22533,1,PETROL,TS-10,Manual,HatchBack,6
Hyundai NEW SANTRO,27153,2,PETROL,RJ-36,Manual,HatchBack,5
Nissan MAGNITE,66065,1,PETROL,DL-8C,Manual,SUV,3
Honda City,53612,2,PETROL,TN-02,Automatic,Sedan,6
Hyundai Grand i10,23376,1,PETROL,MH-05,Manual,HatchBack,7
KIA SONET,22542,1,PETROL,PB-91,Manual,SUV,3
Tata Safari,25239,1,DIESEL,TN-14,Automatic,SUV,3
Ford FREESTYLE,37077,1,PETROL,KA-04,Manual,SUV,4
Maruti Alto 800,54791,1,PETROL,TS-07,Manual,HatchBack,7
Maruti Ertiga,100274,1,DIESEL,BR-01,Manual,SUV,12
Hyundai Elite i20,74317,1,PETROL,HR-35,Manual,HatchBack,8
Maruti Ciaz,70660,1,PETROL,GJ-01,Automatic,Sedan,7
Ford Ecosport,57675,1,CNG,DL-8C,Manual,SUV,5
Hyundai Grand i10,32033,1,PETROL,DL-9C,Automatic,HatchBack,5
Hyundai i10,99873,1,PETROL,HR-26,Manual,HatchBack,14
Maruti Wagon R 1.0,10409,1,PETROL,MH-02,Automatic,HatchBack,6
Honda Jazz,31130,1,PETROL,PB-08,Manual,HatchBack,8
KIA SELTOS,96537,2,PETROL,GJ-18,Manual,SUV,4
Renault Duster,92379,1,DIESEL,RJ-14,Manual,SUV,11
Maruti Swift Dzire,26337,2,PETROL,UP-37,Manual,Sedan,10
Nissan MAGNITE,25725,1,PETROL,GJ-38,Automatic,SUV,3
Hyundai Grand i10,15100,1,PETROL,HR-03,Manual,HatchBack,5
Hyundai GRAND I10 NIOS,27546,1,PETROL,MP-09,Automatic,HatchBack,3
