Car Name,Distance,Owner,Fuel,Location,Drive,Type,car_age
Honda WR-V,67681,1,DIESEL,KA-01,Manual,SUV,7
Maruti Swift,115917,3,DIESEL,MH-14,Manual,HatchBack,12
Volkswagen Vento,44446,1,PETROL,GJ-01,Manual,Sedan,7
Maruti Wagon R 1.0,42217,2,PETROL,TS-08,Manual,HatchBack,12
Honda Amaze,33792,1,PETROL,KA-19,Manual,Sedan,6
Maruti Alto,49983,1,PETROL,HR-24,Manual,HatchBack,14
Maruti Alto 800,79671,1,PETROL,GJ-26,Manual,HatchBack,6
Maruti Swift,66224,1,DIESEL,UP-14,Manual,HatchBack,8
Datsun Go,66599,1,PETROL,KL-01,Manual,HatchBack,10
Hyundai Elite i20,52748,1,PETROL,GJ-27,Manual,HatchBack,5
Maruti Baleno,50459,1,PETROL,MH-47,Manual,HatchBack,8
Hyundai Grand i10,46054,2,PETROL,KA-01,Manual,HatchBack,10
Maruti Ciaz,85507,1,PETROL,UP-32,Manual,Sedan,8
Maruti Alto 800,47714,1,PETROL,PB-65,Manual,HatchBack,5
Volkswagen TIGUAN,88907,1,DIESEL,DL-10,Automatic,Lux_SUV,6
Maruti Dzire,59468,1,PETROL,UP-32,Manual,Sedan,6
Hyundai Grand i10,30079,1,PETROL,MH-43,Manual,HatchBack,11
Honda Brio,81795,2,PETROL,MH-12,Automatic,HatchBack,10
Honda City,66059,1,PETROL,TS-12,Manual,Sedan,10
Maruti Vitara Brezza,72577,1,DIESEL,TS-07,Automatic,SUV,5
Hyundai i20,96999,1,PETROL,MH-14,Manual,HatchBack,10
Hyundai Grand i10,64826,1,PETROL,DL-10,Automatic,HatchBack,7
Hyundai GRAND I10 NIOS,8455,1,CNG,MH-02,Manual,HatchBack,3
Hyundai Verna,98780,1,DIESEL,MH-43,Manual,Sedan,4
Volkswagen Vento,45599,1,PETROL,DL-4C,Manual,Sedan,7
Ford New Figo,57668,2,DIESEL,BR-31,Manual,HatchBack,4
Maruti Swift,57322,1,DIESEL,UP-16,Manual,HatchBack,7
Hyundai Grand i10,87447,1,PETROL,KA-51,Manual,HatchBack,8
Hyundai Elite i20,29018,1,PETROL,DL-7C,Manual,HatchBack,10
Maruti Swift,77023,1,PETROL,DL-8C,Manual,HatchBack,12
Hyundai GRAND I10 NIOS,17686,1,CNG,UP-32,Manual,HatchBack,3
Maruti Dzire,57978,1,PETROL,MH-01,Manual,Sedan,3
Hyundai i20,55836,1,PETROL,KA-01,Manual,HatchBack,10
Maruti Dzire,93533,1,PETROL,KA-03,Automatic,Sedan,7
Maruti Swift,58006,1,DIESEL,TS-09,Manual,HatchBack,7
Maruti Swift,54364,1,PETROL,GJ-08,Manual,HatchBack,4
Maruti Celerio,79381,1,PETROL,TN-12,Manual,HatchBack,7
Maruti Baleno,87983,2,PETROL,TS-13,Manual,HatchBack,8
Honda City,46962,2,DIESEL,KA-51,Automatic,Sedan,10
Honda City,22599,1,PETROL,DL-10,Manual,Sedan,8
Maruti Baleno,41405,1,PETROL,BR-01,Manual,HatchBack,2
Maruti Alto,9041,1,PETROL,GJ-21,Manual,HatchBack,5
Tata ALTROZ,49819,1,PETROL,TS-06,Manual,HatchBack,3
Hyundai Elite i20,86925,1,DIESEL,GJ-36,Manual,HatchBack,6
Maruti Ritz,87652,1,PETROL,KA-03,Manual,HatchBack,13
Maruti Alto K10,39093,1,PETROL,DL-12,Manual,HatchBack,13
Datsun Go,46116,2,PETROL,TN-85,Manual,HatchBack,5
Maruti Ciaz,28555,1,PETROL,DL-2C,Manual,Sedan,7
Maruti Swift,42955,1,PETROL,UP-32,Manual,HatchBack,7
Maruti Baleno,52645,1,PETROL,KA-02,Automatic,HatchBack,5
Renault Kwid,30580,1,PETROL,GJ-27,Manual,HatchBack,6
Maruti Alto 800,49520,2,PETROL,MH-15,Manual,HatchBack,7
Hyundai i20 Active,60461,2,PETROL,HR-51,Manual,HatchBack,9
Hyundai Eon,35162,1,PETROL,TN-07,Manual,HatchBack,9
Honda Jazz,56621,1,PETROL,MH-03,Automatic,HatchBack,8
Renault Kwid,40588,1,PETROL,TS-08,Manual,HatchBack,6
Volkswagen Ameo,9467,1,PETROL,HR-29,Manual,Sedan,6
Maruti Ritz,68057,2,PETROL,KA-51,Manual,HatchBack,14
Renault Kwid,49451,2,PETROL,MH-14,Manual,HatchBack,8
Maruti S Cross,43458,1,PETROL,TN-21,Automatic,SUV,4
Tata Safari,34935,1,DIESEL,TN-11,Automatic,SUV,3
Maruti Swift,67841,1,PETROL,GJ-27,Manual,HatchBack,7
Maruti Dzire,73626,1,DIESEL,TS-09,Manual,Sedan,4
Honda Amaze,24141,1,PETROL,MH-14,Automatic,Sedan,4
Tata Tiago,83406,1,PETROL,KL-27,Manual,HatchBack,5
Maruti Ritz,63764,1,PETROL,AP-09,Manual,HatchBack,14
Tata PUNCH,4392,1,PETROL,PB-10,Manual,SUV,2
Maruti Baleno,26902,1,PETROL,GJ-01,Manual,HatchBack,7
Maruti Ertiga,60501,1,PETROL,WB-24,Manual,SUV,8
Maruti Swift,37694,1,PETROL,PB-65,Manual,HatchBack,6
Maruti Baleno,19009,1,PETROL,GJ-01,Manual,HatchBack,3
Maruti Swift,27785,1,PETROL,HR-26,Manual,HatchBack,6
Maruti Ciaz,63920,1,DIESEL,GJ-01,Automatic,Sedan,9
Maruti Baleno,19682,2,PETROL,UP-27,Manual,HatchBack,3
Maruti Wagon R 1.0,16272,1,PETROL,TN-13,Manual,HatchBack,8
Hyundai Elite i20,60795,2,PETROL,MH-12,Manual,HatchBack,6
Maruti Baleno,14218,2,PETROL,RJ-45,Manual,HatchBack,5
Hyundai Elite i20,41664,1,PETROL,DL-11,Manual,HatchBack,9
Hyundai Grand i10,26542,2,PETROL,BR-31,Manual,HatchBack,9
Maruti Celerio X,75863,1,CNG,GJ-15,Manual,HatchBack,5
Renault Kwid,41755,2,PETROL,TS-07,Manual,HatchBack,8
Maruti Alto K10,40255,2,PETROL,BR-01,Manual,HatchBack,10
Maruti Alto K10,48471,2,PETROL,AP-28,Manual,HatchBack,11
Hyundai Xcent,24934,1,PETROL,HR-03,Manual,Sedan,10
Maruti Baleno,30454,1,PETROL,GJ-01,Manual,HatchBack,3
Toyota Etios Liva,74457,3,PETROL,MH-01,Manual,HatchBack,13
Maruti Baleno,17136,2,PETROL,GJ-01,Manual,HatchBack,5
Ford Ecosport,65171,1,PETROL,TN-01,Automatic,SUV,10
Hyundai Verna,47446,1,PETROL,TN-01,Manual,Sedan,6
Volkswagen Polo,68712,1,PETROL,TN-02,Manual,HatchBack,5
Maruti Alto 800,104180,1,CNG,MH-14,Manual,HatchBack,11
Skoda Rapid,109146,1,DIESEL,MH-12,Manual,Sedan,9
Datsun Redi Go,16494,1,PETROL,MH-04,Manual,HatchBack,6
Toyota Etios Liva,22356,2,PETROL,MH-01,Manual,HatchBack,7
Maruti New Wagon-R,79510,1,PETROL,TS-07,Manual,HatchBack,5
Maruti Ritz,68701,1,DIESEL,KA-05,Manual,HatchBack,13
Mahindra Kuv100,95346,2,PETROL,UP-14,Manual,SUV,7
Maruti Ciaz,83736,2,DIESEL,MH-04,Manual,Sedan,8
Skoda SLAVIA,5377,2,PETROL,KA-01,Automatic,Sedan,2
Renault Kwid,53464,1,PETROL,MH-12,Automatic,HatchBack,7
Hyundai Creta,27503,2,PETROL,KA-04,Manual,SUV,5
Tata Tiago,40749,1,CNG,GJ-03,Automatic,HatchBack,5
Honda City,35215,1,PETROL,HR-36,Manual,Sedan,7
Maruti New Wagon-R,49905,1,CNG,HR-26,Manual,HatchBack,3
Hyundai NEW SANTRO,46851,1,PETROL,TN-07,Manual,HatchBack,5
Toyota Etios,75091,1,PETROL,TN-10,Manual,Sedan,13
Maruti Ciaz,79982,1,PETROL,DL-7C,Automatic,Sedan,7
Volkswagen Ameo,103128,1,DIESEL,AP-28,Manual,Sedan,8
Honda Amaze,51705,1,PETROL,GJ-01,Manual,Sedan,7
Honda WR-V,8125,1,PETROL,HR-51,Manual,SUV,3
Maruti Baleno,30519,1,PETROL,HR-87,Manual,HatchBack,5
Maruti S Cross,73478,1,DIESEL,HR-14,Manual,SUV,6
Toyota Etios Liva,77476,1,PETROL,KA-02,Manual,HatchBack,13
Volkswagen Vento,72016,1,PETROL,KA-01,Automatic,Sedan,4
Honda Amaze,76438,2,PETROL,TS-16,Manual,Sedan,5
Hyundai Creta,60316,1,DIESEL,DL-8C,Automatic,SUV,6
Renault Kwid,12341,1,PETROL,KA-05,Automatic,HatchBack,4
Hyundai Elite i20,20448,1,PETROL,DL-12,Manual,HatchBack,7
Maruti Wagon R 1.0,39068,1,PETROL,GJ-01,Automatic,HatchBack,6
Maruti Swift,47462,1,PETROL,TS-07,Manual,HatchBack,8
Renault Kwid,6859,1,PETROL,GJ-06,Manual,HatchBack,3
Toyota Corolla Altis,101720,1,DIESEL,HR-26,Manual,Lux_sedan,6
Renault TRIBER,26312,1,PETROL,KA-02,Automatic,SUV,4
Hyundai Creta,88561,1,DIESEL,HR-85,Manual,SUV,5
Hyundai Elite i20,71941,2,PETROL,UP-14,Manual,HatchBack,8
Maruti Swift Dzire,99630,2,PETROL,AP-28,Manual,Sedan,11
Mahindra Scorpio,63305,1,DIESEL,BR-01,Manual,SUV,6
Maruti Celerio,19557,2,PETROL,KA-03,Automatic,HatchBack,6
Hyundai Grand i10,75415,2,PETROL,RJ-14,Manual,HatchBack,9
Maruti Vitara Brezza,97788,2,DIESEL,GJ-12,Manual,SUV,7
Maruti Ciaz,68196,2,PETROL,GJ-05,Automatic,Sedan,6
Maruti Swift,17023,1,PETROL,UP-14,Manual,HatchBack,5
Maruti Dzire,13150,1,PETROL,MH-06,Manual,Sedan,4
Hyundai NEW I20,12122,1,PETROL,TN-07,Manual,HatchBack,4
Hyundai Verna,60804,1,PETROL,MH-15,Manual,Sedan,7
Ford Ecosport,111487,1,DIESEL,RJ-14,Manual,SUV,8
Maruti Wagon R 1.0,40273,1,PETROL,MH-20,Manual,HatchBack,10
Hyundai i10,29960,1,PETROL,KA-03,Manual,HatchBack,8
Hyundai Creta,48183,2,PETROL,WB-50,Manual,SUV,5
Maruti Vitara Brezza,81352,2,DIESEL,MH-14,Automatic,SUV,6
Hyundai NEW SANTRO,23117,2,PETROL,MP-09,Manual,HatchBack,6
Honda WR-V,32844,2,PETROL,WB-02,Manual,SUV,7
Datsun Redi Go,72869,2,PETROL,KA-19,Manual,HatchBack,6
Maruti Ciaz,75429,2,PETROL,GJ-01,Manual,Sedan,10
Hyundai Elite i20,61162,1,PETROL,MH-12,Manual,HatchBack,5
Hyundai i10,73615,2,PETROL,KA-41,Automatic,HatchBack,12
Mahindra Kuv100,109428,1,DIESEL,MH-12,Manual,SUV,8
Maruti Wagon R 1.0,30580,1,PETROL,MH-03,Manual,HatchBack,10
Maruti Wagon R 1.0,92195,1,PETROL,AP-07,Manual,HatchBack,11
Tata Tiago,15119,1,CNG,MH-48,Manual,HatchBack,2
Hyundai Grand i10,15890,1,PETROL,HR-26,Manual,HatchBack,9
Maruti Swift,21804,1,PETROL,HR-29,Manual,HatchBack,3
Hyundai Grand i10,47633,2,CNG,DL-8C,Manual,HatchBack,6
Maruti New Wagon-R,21533,1,PETROL,GJ-08,Manual,HatchBack,4
Maruti Celerio,64461,1,CNG,MH-43,Manual,HatchBack,6
Tata NEXON,42036,2,PETROL,TN-11,Automatic,SUV,4
Mahindra XUV500,107080,2,DIESEL,MH-46,Manual,Lux_SUV,10
Honda City,47971,1,PETROL,KA-01,Manual,Sedan,7
Maruti Wagon R 1.0,35690,2,PETROL,MH-14,Manual,HatchBack,8
Honda Amaze,83657,1,PETROL,TS-13,Manual,Sedan,5
Maruti Swift,76904,2,PETROL,DL-3C,Manual,HatchBack,13
Honda City,74819,1,PETROL,TN-02,Manual,Sedan,8
Honda Amaze,49345,2,PETROL,KA-02,Automatic,Sedan,6
Maruti Alto 800,50538,2,PETROL,TN-11,Manual,HatchBack,8
Maruti Baleno,81484,2,PETROL,TN-05,Manual,HatchBack,8
Honda City,53426,2,PETROL,UP-16,Manual,Sedan,7
Maruti Swift,11316,1,PETROL,DL-2C,Manual,HatchBack,7
Maruti S PRESSO,24279,1,CNG,MH-46,Manual,HatchBack,3
Toyota YARIS,94170,2,PETROL,MH-14,Automatic,Sedan,6
Maruti Ertiga,60079,1,PETROL,PB-65,Automatic,SUV,8
Hyundai i10,77326,1,PETROL,MH-12,Manual,HatchBack,14
Maruti Baleno,74812,1,PETROL,TN-11,Manual,HatchBack,5
Maruti Wagon R 1.0,37083,1,PETROL,KA-51,Manual,HatchBack,9
Nissan Terrano,100913,1,DIESEL,MP-09,Manual,SUV,11
Honda City,88050,2,PETROL,RJ-45,Manual,Sedan,7
Renault Kwid,5848,1,PETROL,DL-12,Manual,HatchBack,5
Maruti Alto 800,62659,1,PETROL,TS-07,Manual,HatchBack,6
Hyundai Grand i10,46214,1,PETROL,KA-51,Manual,HatchBack,8
Maruti Swift,57054,1,PETROL,MH-47,Manual,HatchBack,9
Honda City,51129,1,PETROL,TS-28,Manual,Sedan,6
Hyundai Elite i20,26750,1,PETROL,HR-26,Manual,HatchBack,9
Honda City,59373,1,DIESEL,KA-04,Manual,Sedan,7
Maruti Swift Dzire,33914,1,PETROL,TS-08,Automatic,Sedan,8
Ford Ecosport,75761,1,PETROL,WB-20,Manual,SUV,10
Datsun Redi Go,38723,1,PETROL,GJ-19,Automatic,HatchBack,6
Honda Jazz,72645,1,PETROL,TS-07,Manual,HatchBack,8
Volkswagen TAIGUN,16255,1,PETROL,KA-55,Manual,SUV,2
Maruti Celerio,77485,1,CNG,MH-47,Manual,HatchBack,7
Renault Captur,38199,2,DIESEL,KA-53,Manual,SUV,6
Maruti Wagon R 1.0,62162,1,CNG,MH-05,Manual,HatchBack,7
Maruti Swift,87966,3,PETROL,AP-28,Manual,HatchBack,10
Honda Amaze,4032,1,PETROL,DL-10,Manual,Sedan,8
Hyundai Grand i10,38333,1,PETROL,GJ-23,Manual,HatchBack,7
Renault Kwid,15911,1,PETROL,UP-14,Automatic,HatchBack,3
Honda Amaze,69222,2,DIESEL,HR-26,Automatic,Sedan,5
Tata Tiago,23375,2,PETROL,GJ-01,Automatic,HatchBack,5
Hyundai Verna,64767,2,PETROL,UP-32,Automatic,Sedan,4
Hyundai i10,97244,2,PETROL,KL-27,Manual,HatchBack,14
Honda City,70461,1,PETROL,TN-22,Automatic,Sedan,8
Hyundai Grand i10,98455,1,DIESEL,TS-09,Manual,HatchBack,6
Maruti Celerio,19241,1,PETROL,WB-24,Manual,HatchBack,9
Maruti Dzire,45972,1,DIESEL,KA-02,Manual,Sedan,7
Maruti Wagon R 1.0,69581,2,PETROL,KA-03,Manual,HatchBack,9
Maruti Alto K10,37141,1,PETROL,DL-4C,Manual,HatchBack,14
Hyundai Elite i20,64031,2,CNG,HR-10,Manual,HatchBack,6
Maruti Celerio X,45263,1,PETROL,GJ-32,Manual,HatchBack,4
Maruti Wagon R 1.0,64464,1,PETROL,TS-09,Manual,HatchBack,7
Hyundai Creta,5825,3,PETROL,RJ-45,Automatic,SUV,3
Maruti Celerio,90254,1,PETROL,TS-08,Manual,HatchBack,6
Honda Amaze,81854,1,PETROL,TS-07,Manual,Sedan,6
Tata ALTROZ,6833,1,PETROL,GJ-01,Automatic,HatchBack,2
Honda WR-V,12296,1,PETROL,BR-01,Manual,SUV,3
Honda Amaze,51603,1,PETROL,MH-43,Manual,Sedan,6
Honda Brio,64592,1,PETROL,DL-3C,Automatic,HatchBack,9
Maruti Vitara Brezza,77722,1,DIESEL,HR-30,Manual,SUV,8
Maruti Alto K10,38655,2,PETROL,KA-01,Manual,HatchBack,7
Maruti New Wagon-R,33687,1,CNG,CH-01,Manual,HatchBack,2
Honda Jazz,50649,1,PETROL,MH-05,Manual,HatchBack,7
Hyundai Grand i10,42428,1,PETROL,DL-8C,Manual,HatchBack,8
Maruti Baleno,23849,1,PETROL,HR-26,Manual,HatchBack,4
Hyundai Elite i20,73202,1,PETROL,TS-11,Manual,HatchBack,8
Hyundai GRAND I10 NIOS,7715,1,PETROL,TN-18,Automatic,HatchBack,4
Hyundai Elite i20,72732,1,PETROL,KA-53,Manual,HatchBack,8
Honda Jazz,35562,1,PETROL,KA-20,Manual,HatchBack,3
Hyundai i20,68161,1,DIESEL,MH-05,Manual,HatchBack,11
Maruti S Cross,42632,1,PETROL,TS-02,Automatic,SUV,4
Maruti Baleno,13550,1,PETROL,GJ-27,Manual,HatchBack,3
Maruti Baleno,51955,1,PETROL,GJ-01,Manual,HatchBack,8
Ford Ecosport,58559,1,PETROL,TS-07,Manual,SUV,6
Hyundai Elite i20,19364,1,PETROL,DL-1C,Manual,HatchBack,7
Maruti Swift Dzire,35946,1,DIESEL,HR-36,Manual,Sedan,10
Maruti Wagon R 1.0,82391,1,PETROL,KA-04,Manual,HatchBack,10
Hyundai VENUE,15337,1,PETROL,WB-26,Manual,SUV,4
Hyundai NEW I20,35979,1,DIESEL,RJ-45,Manual,HatchBack,4
Maruti Baleno,41418,1,PETROL,MH-12,Automatic,HatchBack,7
Skoda Rapid,56893,1,DIESEL,MH-01,Automatic,Sedan,7
Volkswagen Polo,96842,1,PETROL,TN-10,Manual,HatchBack,9
Volkswagen Polo,69667,2,PETROL,PB-10,Automatic,HatchBack,9
Honda Amaze,49625,2,PETROL,DL-2C,Manual,Sedan,9
Hyundai Eon,59332,3,PETROL,PB-10,Manual,HatchBack,9
Maruti Ertiga,85588,2,DIESEL,KA-01,Manual,SUV,11
Hyundai NEW I20,13165,2,PETROL,KA-01,Manual,HatchBack,3
Nissan Micra,83190,2,PETROL,KL-53,Automatic,HatchBack,10
Maruti Ciaz,53190,2,PETROL,WB-08,Manual,Sedan,6
Renault Kwid,11271,1,PETROL,MH-12,Automatic,HatchBack,6
Maruti Ciaz,8053,1,PETROL,UP-32,Manual,Sedan,5
Maruti Alto K10,68730,2,PETROL,KA-53,Manual,HatchBack,13
Skoda Octavia,82265,2,DIESEL,TS-09,Automatic,Lux_sedan,9
Ford Ecosport,102616,1,DIESEL,TN-06,Manual,SUV,7
Hyundai Creta,96639,1,PETROL,DL-12,Manual,SUV,7
Mahindra KUV 100 NXT,14998,1,PETROL,WB-02,Manual,SUV,5
Hyundai Grand i10,51526,2,PETROL,KL-75,Manual,HatchBack,5
Honda Amaze,61875,1,DIESEL,MH-47,Manual,Sedan,11
Hyundai Eon,84776,2,PETROL,MH-14,Manual,HatchBack,9
Maruti Baleno,32201,2,PETROL,GJ-01,Manual,HatchBack,5
Hyundai i10,41446,2,PETROL,KA-09,Manual,HatchBack,13
Mahindra XUV500,92135,1,DIESEL,KA-03,Automatic,Lux_SUV,7
Maruti Alto K10,64158,1,PETROL,DL-1C,Manual,HatchBack,10
Maruti Celerio,72112,1,PETROL,TN-22,Automatic,HatchBack,6
Maruti Swift Dzire,82929,1,PETROL,HR-26,Manual,Sedan,10
Ford Ecosport,112071,1,CNG,GJ-01,Automatic,SUV,6
Maruti Celerio,66511,2,PETROL,TN-09,Automatic,HatchBack,6
Maruti Swift,18055,1,PETROL,DL-8C,Manual,HatchBack,8
Maruti Ertiga,38852,2,PETROL,WB-02,Manual,SUV,10
Hyundai Elite i20,22237,1,PETROL,GJ-01,Manual,HatchBack,6
KIA SONET,3713,1,DIESEL,GJ-01,Manual,SUV,2
Hyundai i10,27116,1,PETROL,KA-19,Manual,HatchBack,10
Maruti Baleno,21270,1,PETROL,TN-07,Automatic,HatchBack,7
Hyundai Grand i10,33605,1,PETROL,TN-05,Manual,HatchBack,6
Hyundai Creta,55494,1,PETROL,MH-05,Manual,SUV,9
Maruti Baleno,45217,1,PETROL,MP-04,Manual,HatchBack,7
Hyundai Grand i10,86060,2,PETROL,GJ-03,Manual,HatchBack,9
Tata NEXON,61905,1,PETROL,TS-08,Manual,SUV,5
Maruti Alto,8695,1,PETROL,UP-78,Manual,HatchBack,4
Maruti Ciaz,71596,1,PETROL,HR-26,Manual,Sedan,6
Ford New Figo,21230,1,PETROL,KL-54,Manual,HatchBack,3
Maruti Swift Dzire,83991,1,DIESEL,KA-01,Automatic,Sedan,10
Renault Kwid,25346,1,PETROL,GJ-18,Manual,HatchBack,4
Datsun Redi Go,92449,1,PETROL,TN-07,Manual,HatchBack,8
Honda Amaze,96861,1,PETROL,TN-07,Manual,Sedan,9
Honda City,46628,1,PETROL,KA-20,Manual,Sedan,6
Toyota Etios,60025,2,PETROL,WB-06,Manual,Sedan,12
Honda City,51618,2,PETROL,WB-06,Manual,Sedan,8
Hyundai i20,67444,1,PETROL,KA-02,Manual,HatchBack,12
Toyota Etios Liva,56351,1,PETROL,DL-3C,Manual,HatchBack,9
Volkswagen Polo,34054,1,PETROL,MH-01,Manual,HatchBack,5
Maruti Swift,21270,1,PETROL,HR-51,Manual,HatchBack,5
Maruti S Cross,76836,2,DIESEL,KA-05,Manual,SUV,8
Mahindra Thar,10843,1,PETROL,GJ-01,Automatic,SUV,3
Maruti Ciaz,60895,1,DIESEL,HR-51,Manual,Sedan,6
Maruti Vitara Brezza,32984,2,PETROL,MH-12,Manual,SUV,4
Maruti Ciaz,39325,1,PETROL,HR-51,Automatic,Sedan,6
Honda City,20009,1,PETROL,KA-01,Automatic,Sedan,4
Hyundai Elite i20,24248,2,PETROL,DL-12,Manual,HatchBack,6
Hyundai Elite i20,59287,2,PETROL,MH-02,Manual,HatchBack,9
Hyundai Xcent,95666,1,PETROL,DL-1C,Manual,Sedan,7
Maruti Ciaz,57006,1,PETROL,MH-48,Manual,Sedan,7
Maruti Alto 800,60610,2,PETROL,TS-07,Manual,HatchBack,8
Renault Kwid,9263,1,PETROL,HR-36,Automatic,HatchBack,3
Maruti Ciaz,89310,3,DIESEL,GJ-05,Manual,Sedan,9
Maruti S PRESSO,8944,1,PETROL,CH-01,Manual,HatchBack,2
Tata Tiago,30233,1,PETROL,TN-60,Manual,HatchBack,3
Hyundai Grand i10,46988,1,PETROL,KA-03,Manual,HatchBack,9
Hyundai Xcent,32457,1,PETROL,TS-15,Manual,Sedan,5
Maruti Dzire,49984,1,PETROL,GJ-05,Automatic,Sedan,5
Maruti Wagon R 1.0,54763,1,PETROL,MH-12,Manual,HatchBack,7
Maruti Ertiga,20569,2,DIESEL,MH-03,Manual,SUV,7
Maruti Alto K10,42709,1,PETROL,WB-06,Manual,HatchBack,13
Maruti Swift Dzire,65144,1,PETROL,DL-8C,Manual,Sedan,14
Maruti Celerio X,30190,1,PETROL,GJ-03,Manual,HatchBack,6
Maruti Alto 800,43258,1,PETROL,TS-08,Manual,HatchBack,7
Hyundai Verna,40153,1,DIESEL,TS-16,Manual,Sedan,6
Volkswagen Polo,42942,1,PETROL,KA-01,Manual,HatchBack,13
Honda City,97358,2,PETROL,KA-51,Manual,Sedan,10
Maruti Alto 800,65780,3,PETROL,KA-04,Manual,HatchBack,10
Maruti Ciaz,39462,2,PETROL,TN-18,Manual,Sedan,4
Honda City,24903,1,CNG,UP-72,Manual,Sedan,8
Maruti Dzire,31675,1,PETROL,WB-02,Manual,Sedan,5
Hyundai Verna,41188,1,PETROL,MH-01,Automatic,Sedan,8
Mahindra XUV700,13339,1,PETROL,KA-02,Manual,SUV,2
Honda Amaze,40042,1,DIESEL,HR-26,Manual,Sedan,6
Renault Duster,64156,1,DIESEL,UP-32,Manual,SUV,7
Honda City,39985,1,PETROL,GJ-06,Manual,Sedan,12
Toyota YARIS,47976,2,PETROL,GJ-05,Manual,Sedan,4
Maruti Swift,57941,1,PETROL,DL-8C,Manual,HatchBack,6
Datsun Redi Go,76982,1,PETROL,GJ-06,Manual,HatchBack,7
KIA SELTOS,43582,1,DIESEL,TS-09,Automatic,SUV,4
Ford Ecosport,84459,1,DIESEL,TN-06,Manual,SUV,8
Tata Hexa,43895,1,DIESEL,HR-26,Manual,SUV,5
Renault Kwid,9339,1,PETROL,DL-12,Manual,HatchBack,4
Renault Kwid,12940,2,PETROL,TN-22,Manual,HatchBack,5
Renault Kiger,21838,1,PETROL,UP-32,Manual,HatchBack,2
Maruti Alto 800,28518,1,PETROL,WB-24,Manual,HatchBack,8
Hyundai Elite i20,22249,1,PETROL,KA-02,Manual,HatchBack,6
Maruti Vitara Brezza,72255,1,PETROL,TN-18,Manual,SUV,4
Hyundai Elite i20,37567,1,PETROL,HR-26,Manual,HatchBack,7
Datsun Redi Go,55547,2,PETROL,KA-19,Manual,HatchBack,6
Hyundai Elite i20,67262,1,PETROL,DL-5C,Manual,HatchBack,7
Maruti Swift,92870,1,PETROL,TS-08,Manual,HatchBack,6
Hyundai Creta,34056,2,PETROL,MH-02,Automatic,SUV,8
Maruti Celerio,29780,1,PETROL,KA-02,Manual,HatchBack,8
Honda City,95291,1,PETROL,TN-06,Automatic,Sedan,7
Datsun Redi Go,28545,1,PETROL,TS-07,Manual,HatchBack,7
Maruti S PRESSO,12860,1,PETROL,MH-12,Manual,HatchBack,2
Skoda Rapid,61819,1,PETROL,TS-08,Manual,Sedan,7
Maruti Swift,40392,1,PETROL,UP-32,Manual,HatchBack,9
Maruti Dzire,99097,2,PETROL,KA-04,Manual,Sedan,5
Honda Jazz,60129,1,PETROL,MH-02,Automatic,HatchBack,5
Renault Kwid,68966,1,PETROL,MH-14,Automatic,HatchBack,7
Hyundai Elite i20,70917,1,DIESEL,MH-04,Manual,HatchBack,9
Renault Kwid,34736,1,PETROL,MH-48,Manual,HatchBack,7
Maruti Swift,58570,1,PETROL,MH-48,Manual,HatchBack,11
Maruti Alto 800,37303,1,PETROL,WB-08,Manual,HatchBack,6
Maruti Baleno,31735,1,PETROL,TS-08,Manual,HatchBack,2
Hyundai Grand i10,7177,1,PETROL,KA-03,Manual,HatchBack,6
Mahindra XUV500,97110,2,DIESEL,KA-03,Manual,Lux_SUV,8
Maruti Alto,14547,1,PETROL,WB-06,Manual,HatchBack,13
Hyundai i10,47474,1,PETROL,MH-12,Manual,HatchBack,13
Honda Jazz,36968,1,PETROL,DL-4C,Manual,HatchBack,8
Renault Kwid,19062,1,PETROL,KA-51,Manual,HatchBack,3
Maruti Swift Dzire,12651,2,PETROL,UP-16,Manual,Sedan,7
Maruti Swift Dzire,27991,1,PETROL,BR-01,Manual,Sedan,12
Hyundai Sonata,73679,2,PETROL,MP-09,Manual,Sedan,13
Maruti Dzire,125345,1,DIESEL,UP-32,Manual,Sedan,6
Maruti Baleno,15267,1,PETROL,KA-03,Automatic,HatchBack,6
Tata Tiago,38272,2,PETROL,KA-51,Manual,HatchBack,6
Hyundai New Elantra,24185,1,PETROL,KA-53,Automatic,Lux_sedan,5
Maruti Celerio,54938,1,CNG,MH-12,Manual,HatchBack,5
Honda WR-V,40282,1,PETROL,RJ-14,Manual,SUV,7
Maruti Alto,37999,2,PETROL,RJ-45,Manual,HatchBack,4
Maruti Swift,67954,1,PETROL,TN-05,Manual,HatchBack,12
Honda Amaze,53873,1,PETROL,UP-78,Manual,Sedan,5
Maruti Baleno,16150,1,PETROL,DL-9C,Manual,HatchBack,5
Maruti Ciaz,86851,2,PETROL,KA-03,Manual,Sedan,9
Mahindra BOLERO NEO,9705,1,DIESEL,DL-12,Manual,SUV,2
Tata Zest,39280,1,PETROL,KA-03,Manual,Sedan,9
Maruti Wagon R 1.0,16607,1,PETROL,DL-3C,Manual,HatchBack,13
Tata ALTROZ,32282,1,PETROL,UP-53,Manual,HatchBack,4
Hyundai Grand i10,43092,1,PETROL,MH-03,Manual,HatchBack,7
Hyundai VENUE,30050,1,DIESEL,TN-14,Manual,SUV,4
Hyundai VENUE,23036,1,PETROL,DL-10,Manual,SUV,3
KIA SELTOS,84335,1,DIESEL,DL-12,Manual,SUV,4
Tata ALTROZ,20660,1,PETROL,BR-01,Manual,HatchBack,3
